Time,Hour,Open,High,Low,Close,100,300,Long,Short
2017-06-12 12:00,12,1.12189,1.12249,1.12136,1.12136,1.12234,,0,1
2017-06-12 13:00,13,1.1215,1.12201,1.12033,1.12033,1.1223,,0,1
2017-06-12 14:00,14,1.12084,1.12104,1.11919,1.11919,1.12225,,0,1
2017-06-12 15:00,15,1.12032,1.12052,1.11972,1.11972,1.1222,,0,1
2017-06-12 16:00,16,1.1203,1.12051,1.11966,1.11966,1.12215,,0,1
2017-06-12 17:00,17,1.11983,1.12067,1.1196,1.1196,1.12208,,0,1
2017-06-12 18:00,18,1.12041,1.12086,1.11988,1.11988,1.12202,,0,1
2017-06-12 19:00,19,1.12083,1.12101,1.12009,1.12009,1.12195,,0,1
2017-06-12 20:00,20,1.12049,1.12081,1.12015,1.12015,1.12188,,0,1
2017-06-12 21:00,21,1.12038,1.12074,1.12027,1.12027,1.12182,,0,1
2017-06-12 22:00,22,1.1206,1.1206,1.12011,1.12011,1.12175,,0,1
2017-06-12 23:00,23,1.12017,1.12021,1.11956,1.11956,1.12167,,0,1
2017-06-13 00:00,0,1.11974,1.1201,1.11937,1.11937,1.12159,,0,1
2017-06-13 01:00,1,1.11944,1.11962,1.11901,1.11901,1.1215,,0,1
2017-06-13 02:00,2,1.11923,1.11989,1.11913,1.11913,1.12142,,0,1
2017-06-13 03:00,3,1.11966,1.11966,1.11893,1.11893,1.12135,,0,1
2017-06-13 04:00,4,1.11905,1.11937,1.11903,1.11903,1.12127,,0,1
2017-06-13 05:00,5,1.11932,1.11937,1.11854,1.11854,1.12119,,0,1
2017-06-13 06:00,6,1.11874,1.11985,1.11855,1.11855,1.12111,,0,1
2017-06-13 07:00,7,1.11944,1.12182,1.119,1.119,1.12104,,0,1
2017-06-13 08:00,8,1.12171,1.1225,1.12091,1.12091,1.12099,,0,1
2017-06-13 09:00,9,1.12127,1.12172,1.12041,1.12041,1.12093,,0,1
2017-06-13 10:00,10,1.12078,1.12121,1.12008,1.12008,1.12088,,0,1
2017-06-13 11:00,11,1.12068,1.12204,1.12022,1.12022,1.12083,,0,1
2017-06-13 12:00,12,1.12181,1.12202,1.12067,1.12067,1.12078,,0,1
2017-06-13 13:00,13,1.12075,1.1211,1.1201,1.1201,1.12077,,0,1
2017-06-13 14:00,14,1.12081,1.12186,1.12061,1.12061,1.12078,,0,1
2017-06-13 15:00,15,1.12067,1.12116,1.11924,1.11924,1.12075,,0,1
2017-06-13 16:00,16,1.11935,1.1203,1.11922,1.11922,1.12072,,0,1
2017-06-13 17:00,17,1.1202,1.12069,1.12017,1.12017,1.12066,,0,1
2017-06-13 18:00,18,1.12023,1.12127,1.12022,1.12022,1.12064,,0,1
2017-06-13 19:00,19,1.12112,1.12116,1.12065,1.12065,1.12062,,0,1
2017-06-13 20:00,20,1.12073,1.12116,1.12065,1.12065,1.12056,,0,1
2017-06-13 21:00,21,1.1207,1.12152,1.12068,1.12068,1.12052,,0,1
2017-06-13 22:00,22,1.12089,1.12116,1.12067,1.12067,1.12047,,0,1
2017-06-13 23:00,23,1.12083,1.12111,1.12071,1.12071,1.12042,,0,1
2017-06-14 00:00,0,1.12091,1.12153,1.12072,1.12072,1.12038,,0,1
2017-06-14 01:00,1,1.12136,1.12176,1.12123,1.12123,1.12033,,0,1
2017-06-14 02:00,2,1.12159,1.12197,1.12116,1.12116,1.12029,,0,1
2017-06-14 03:00,3,1.12126,1.1217,1.12126,1.12126,1.12026,,0,1
2017-06-14 04:00,4,1.12154,1.12161,1.12128,1.12128,1.12022,,0,1
2017-06-14 05:00,5,1.12154,1.12194,1.12147,1.12147,1.12018,,0,1
2017-06-14 06:00,6,1.12191,1.12252,1.12125,1.12125,1.12014,,0,1
2017-06-14 07:00,7,1.12213,1.12213,1.1208,1.1208,1.1201,,0,1
2017-06-14 08:00,8,1.12088,1.12156,1.12054,1.12054,1.12005,,0,1
2017-06-14 09:00,9,1.12075,1.12154,1.12029,1.12029,1.12,,0,1
2017-06-14 10:00,10,1.1206,1.12081,1.12015,1.12015,1.11996,,0,1
2017-06-14 11:00,11,1.12048,1.12076,1.11978,1.11978,1.11991,,0,1
2017-06-14 12:00,12,1.12016,1.12676,1.11993,1.11993,1.11988,,0,1
2017-06-14 13:00,13,1.12627,1.12788,1.12622,1.12622,1.11991,,0,1
2017-06-14 14:00,14,1.12716,1.12959,1.12702,1.12702,1.11996,,0,1
2017-06-14 15:00,15,1.12795,1.12859,1.12724,1.12724,1.12004,,0,1
2017-06-14 16:00,16,1.12768,1.12796,1.12658,1.12658,1.1201,,0,1
2017-06-14 17:00,17,1.12732,1.12746,1.1263,1.1263,1.12017,,0,1
2017-06-14 18:00,18,1.12705,1.12893,1.12077,1.12077,1.12016,,0,1
2017-06-14 19:00,19,1.12156,1.12234,1.11932,1.11932,1.12015,,0,1
2017-06-14 20:00,20,1.12182,1.12232,1.12142,1.12142,1.12016,,0,1
2017-06-14 21:00,21,1.12179,1.12208,1.12156,1.12156,1.12017,,0,1
2017-06-14 22:00,22,1.12174,1.12186,1.12056,1.12056,1.12016,,0,1
2017-06-14 23:00,23,1.12102,1.12162,1.12095,1.12095,1.12016,,0,1
2017-06-15 00:00,0,1.12132,1.12221,1.12099,1.12099,1.12017,,0,1
2017-06-15 01:00,1,1.12182,1.12285,1.12173,1.12173,1.12018,,0,1
2017-06-15 02:00,2,1.12203,1.1224,1.12166,1.12166,1.12022,,0,1
2017-06-15 03:00,3,1.12164,1.12237,1.12152,1.12152,1.12026,,0,1
2017-06-15 04:00,4,1.1223,1.12242,1.12201,1.12201,1.12029,,0,1
2017-06-15 05:00,5,1.12213,1.12219,1.12145,1.12145,1.12032,,0,1
2017-06-15 06:00,6,1.12179,1.12203,1.12057,1.12057,1.12033,,0,1
2017-06-15 07:00,7,1.12121,1.12125,1.11795,1.11795,1.12031,,0,1
2017-06-15 08:00,8,1.11937,1.11939,1.11753,1.11753,1.12029,,0,1
